Tarea,Algoritmo,Accuracy,Sensibilidad,Especificidad,F1
11,MLP,0.7143,0.6667,0.7647,0.7059
11,LVQ,0.5429,0.2778,0.8235,0.3846
12,LR,0.5429,0.5556,0.5294,0.5556
12,XGB,0.5143,0.5,0.5294,0.5143
12,DT,0.5429,0.5,0.5882,0.5294
12,RF,0.5714,0.5556,0.5882,0.5714
12,kNN,0.5714,0.4444,0.7059,0.5161
12,SVM,0.6571,0.6111,0.7059,0.6471
12,GNB,0.5714,0.5,0.6471,0.5455
12,LDA,0.5714,0.6667,0.4706,0.6154
12,MLP,0.5429,0.6667,0.4118,0.6
12,LVQ,0.6,0.3889,0.8235,0.5
13,LR,0.5143,0.3889,0.6471,0.4516
13,XGB,0.5714,0.6111,0.5294,0.5946
13,DT,0.6,0.6667,0.5294,0.6316
13,RF,0.5429,0.6111,0.4706,0.5789
13,kNN,0.6,0.4444,0.7647,0.5333
13,SVM,0.6,0.3889,0.8235,0.5
13,GNB,0.6,0.3889,0.8235,0.5
13,LDA,0.4857,0.4444,0.5294,0.4706
13,MLP,0.5429,0.6667,0.4118,0.6
13,LVQ,0.6286,0.4444,0.8235,0.5517
14,LR,0.4857,0.3889,0.5882,0.4375
14,XGB,0.7143,0.6667,0.7647,0.7059
14,DT,0.6571,0.6111,0.7059,0.6471
14,RF,0.6286,0.6667,0.5882,0.6486
14,kNN,0.5714,0.5,0.6471,0.5455
14,SVM,0.5714,0.6667,0.4706,0.6154
14,GNB,0.5714,0.8333,0.2941,0.6667
14,LDA,0.5429,0.4444,0.6471,0.5
14,MLP,0.5714,0.5,0.6471,0.5455
14,LVQ,0.5429,0.6111,0.4706,0.5789
15,LR,0.6571,0.6111,0.7059,0.6471
15,XGB,0.6571,0.6667,0.6471,0.6667
15,DT,0.6571,0.6111,0.7059,0.6471
15,RF,0.6857,0.7222,0.6471,0.7027
15,kNN,0.5429,0.5,0.5882,0.5294
15,SVM,0.6286,0.5556,0.7059,0.6061
